cdp_id,sign_list,number
1305,Clay BE A 14,7
1305,Koenig AfO Bei 16,20
1305,Ranke BE A 61,5
1305,Schroeder VS 12,10
1305,Clay BE A 10,6
1305,Schroder VS 15,10
1305,Fossey pp,29ff
1306,UET 2,6
1306,ARM XV,12
1306,Clay BE A 14,7
1306,Koenig AfO Bei 16,25
1306,Ranke BE A 61,5
1306,Schroeder VS 12,10
1306,Clay BE A 10,6
1306,Schroder VS 15,10
1306,Fossey pp,29ff
1307,UET 2,6
1307,ARM XV,12
1307,Clay BE A 14,7
1307,Koenig AfO Bei 16,113
1307,Ranke BE A 61,5
1307,Schroeder VS 12,10
1307,Clay BE A 10,6
1307,Schroder VS 15,10
1307,Fossey pp,29ff
1308,Fossey pp,31ff.
1309,Fossey pp,"31, 1108"
1310,Fossey pp,"32-35, 1074"
1312,UET 2,161
1312,ARM XV,137''
1312,Clay BE A 14,72
1312,Ranke BE A 61,202
1312,Schroeder VS 12,96
1312,Clay BE A 10,112
1312,Fossey pp,"475-478, 869"
1313,UET 2,161
1313,Clay BE A 14,72
1313,Ranke BE A 61,202
1313,Schroeder VS 12,96
1313,Clay BE A 10,112
1313,Fossey pp,"475-478, 869"
1314,UET 2,161
1314,Clay BE A 14,72
1314,Ranke BE A 61,202
1314,Schroeder VS 12,96
1314,Clay BE A 10,112
1314,Fossey pp,"475-478, 869"
1315,UET 2,161
1315,Clay BE A 14,72
1315,Ranke BE A 61,202
1315,Schroeder VS 12,96
1315,Clay BE A 10,112
1315,Fossey pp,"475-478, 869"
1316,UET 2,161
1316,Clay BE A 14,72
1316,Schroeder VS 12,96
1316,Clay BE A 10,112
1316,Fossey pp,"475-478, 869"
1317,UET 2,161
1317,Clay BE A 14,72
1317,Schroeder VS 12,96
1317,Clay BE A 10,112
1317,Fossey pp,"475-478, 869"
1318,UET 2,161
1318,Clay BE A 14,72
1318,Schroeder VS 12,96
1318,Clay BE A 10,112
1318,Fossey pp,"475-478, 869"
1319,UET 2,161
1319,Clay BE A 14,72
1319,Schroeder VS 12,96
1319,Clay BE A 10,112
1319,Fossey pp,"475-478, 869"
1325,UET 2,75
1325,ARM XV,28
1325,Clay BE A 14,4
1325,Ranke BE A 61,7
1325,Clay BE A 10,3
1325,Schroder VS 15,20
1325,Fossey pp,94-97
1326,UET 2,75
1326,ARM XV,28
1326,Clay BE A 14,4
1326,Ranke BE A 61,7
1326,Clay BE A 10,3
1326,Schroder VS 15,20
1326,Fossey pp,94-97
1327,UET 2,75
1327,ARM XV,28
1327,Clay BE A 14,4
1327,Ranke BE A 61,7
1327,Clay BE A 10,3
1327,Schroder VS 15,20
1327,Fossey pp,94-97
1328,ARM XV,263
1328,Clay BE A 14,185
1328,Koenig AfO Bei 16,8
1328,Ranke BE A 61,158
1328,Schroeder VS 12,177
1328,Schroder VS 15,170
1328,Fossey pp,877-880
1329,ARM XV,25
1330,UET 2,53
1330,Clay BE A 14,23
1330,Koenig AfO Bei 16,70
1330,Ranke BE A 61,20
1330,Schroeder VS 12,16
1330,Clay BE A 10,18
1330,Schroder VS 15,16
1330,Fossey pp,65-68
1331,UET 2,53
1331,Clay BE A 14,23
1331,Koenig AfO Bei 16,118
1331,Ranke BE A 61,20
1331,Schroeder VS 12,16
1331,Clay BE A 10,18
